input,Correct Answer,Correct Option,source
"A 50-year-old female presents to the office with the complaints of chronic achiness, stiffness, and fatigue. Physical examination reveals multiple bilateral tender points in the trapezius, gluteal, and suboccipital muscle groups. Radiograph findings and laboratory study results are normal. The most likely diagnosis is

A. ankylosing spondylitis
B. fibromyalgia
C. myofascial pain syndrome
D. osteoarthritis",fibromyalgia,B,Professional Medicine
"Once a prescribed unit of blood product has been obtained from the blood bank and is out of refrigeration, the transfusion should commence within what period of time before it starts to deteriorate (as of 2020 medical knowledge)?

A. 30 minutes.
B. 90 minutes.
C. 4 hours.
D. 12 hours.",30 minutes.,A,Clinical Knowledge
"Removal of adhesive strips:

A. can be carried out by the patient.
B. should be undertaken under aseptic conditions.
C. is a specialist skill.
D. should not be undertaken until at least seven days after application.",can be carried out by the patient.,A,Clinical Knowledge
"A 14-year-old girl has had nausea, intermittent diarrhea, and a 2.2-kg (5-lb) weight loss over the past 4 weeks. Examination shows a migrating serpiginous pruritic perianal rash. Her leukocyte count is 8000/mm3 with 20% eosinophils. Which of the following tests is most likely to yield an accurate diagnosis?

A. Blood smear
B. Bone marrow biopsy
C. KOH preparation
D. Microscopic examination of the stool",Microscopic examination of the stool,D,Professional Medicine
"A 26-year-old male police officer comes to the office for an annual health maintenance examination. He is physically active and feels well, but he notes that his asthma has been more active during the past month. He says that he has had to use his albuterol inhaler one to two times daily for wheezing and chest tightness. He has not had gastroesophageal reflux symptoms, productive cough, or fever. Medical history is remarkable for atopic allergies, especially to pollen and cats. He has had coldand exercise-induced asthma for the past 14 years. He takes no other medications. He is 188 cm (6 ft 2 in) tall and weighs 90 kg (200 lb); BMI is 25 kg/m2 . Vital signs are temperature 37.0°C (98.6°F), pulse 70/min, respirations 12/min, and blood pressure 120/76 mm Hg. Physical examination shows no abnormalities except for scattered rhonchi and wheezes with forced expiration. Peak expiratory flow rate is 240 L/min. Which of the following is the most appropriate management?

A. Chest x-ray
B. Fexofenadine therapy
C. Increased use of the albuterol inhaler
D. Initiation of a daily corticosteroid inhaler",Initiation of a daily corticosteroid inhaler,D,Professional Medicine
"A possible effect of damage to the third cranial nerve by trauma to the orbit is

A. a convergent strabismus.
B. ptosis.
C. pupillary contriction.
D. bitemporal hemianopia.",ptosis.,B,Anatomy
"A 45-year-old woman with systemic sclerosis (scleroderma) comes to the physician because of a 3-week history of progressive shortness of breath and nonproductive cough. Her temperature is 36.9°C (98.4°F), pulse is 82/min, respirations are 20/min, and blood pressure is 136/85 mm Hg. Crackles are heard in both lower lung fields. Pulmonary function tests show total lung capacity is 80% of predicted, and diffusing capacity for carbon monoxide, corrected for alveolar volume, is 65% of predicted. Histologic examination of a lung biopsy specimen is most likely to show which of the following findings?

A. Diffuse interstitial fibrosis
B. Intra-alveolar exudates
C. Multiple thromboemboli
D. Necrotizing vasculitis",Diffuse interstitial fibrosis,A,Professional Medicine
"Where should a stoma be sited?

A. The rectus sheath abdominus.
B. Next to the umbilicus.
C. Within an abdominal crease.
D. In close proximity to the incision site.",The rectus sheath abdominus.,A,Clinical Knowledge
"A 13-month-old child is brought to the emergency department because of urticaria, swelling of the lips, and difficulty breathing immediately after eating an egg. A potential risk for hypersensitivity reaction is posed by vaccination against which of the following illnesses?

A. Hepatitis
B. Influenza
C. Pertussis
D. Poliomyelitis",Influenza,B,Professional Medicine
"Which of the following is a substance that aids the transmission of nerve impulses to the muscles?

A. Acetylcholine
B. Cholecystokinin
C. Deoxyribose
D. Oxytocin",Acetylcholine,A,Anatomy
