input,output,instruction
Where to find Medical Care for Gonadoblastoma?,Medical care for gonadoblastoma can be found here.,Answer this question truthfully
What to expect if I have Craniosynostosis  (Outlook/Prognosis)?,"How well a person does depends on how many sutures are involved and whether other defects are present. Patients who have surgery usually do well, especially those whose condition is not associated with a genetic syndrome.",Answer this question truthfully
When to seek urgent medical care when I have Scleroderma ?,"Call for an appointment with your health care provider if:
You have symptoms of scleroderma You have scleroderma and symptoms become worse or new symptoms develop",Answer this question truthfully
What are the symptoms of Cerebral hypoxia?,"Symptoms of mild cerebral hypoxia include:
Change in attention (inattentiveness) Poor judgment Uncoordinated movement
Symptoms of severe cerebral hypoxia include:
Complete unawareness and unresponsiveness (coma) No breathing No response of the pupils of the eye to light",Answer this question truthfully
What are the symptoms of Iron deficiency anemia in children?,"If anemia is mild, there may be no symptoms.
Blue-tinged or very pale whites of eyes Blood in the stools Brittle nails Decreased appetite (especially in children) Fatigue Headache Irritability Pale skin color (pallor) Shortness of breath Sore tongue Unusual food cravings (called pica) Weakness",Answer this question truthfully
Who is at highest risk for Keratosis pilaris ?,"It is more common in patients who have very dry skin, or who have atopic dermatitis (eczema). It seems to run in families.",Answer this question truthfully
What to expect if I have Ondine%27s curse  (Outlook/Prognosis)?,Response to treatment varies.,Answer this question truthfully
What to expect if I have Hyperparathyroidism  (Outlook/Prognosis)?,The outlook depends on the specific type of hyperparathyroidism.,Answer this question truthfully
When to seek urgent medical care when I have Myotonia congenita ?,Call your health care provider if your child has symptoms of myotonia congenita.,Answer this question truthfully
What are the causes of Irritable bowel syndrome ?,"Researchers have yet to discover any specific cause for IBS. One theory is that people who suffer from IBS have a colon, or large intestine, that is particularly sensitive and reactive to certain foods and stress. The immune system, which fights infection, may also be involved.
Normal motility, or movement, may not be present in the colon of a person who has IBS. It can be spasmodic or can even stop working temporarily. Spasms are sudden strong muscle contractions that come and go. The lining of the colon called the epithelium, which is affected by the immune and nervous systems, regulates the flow of fluids in and out of the colon. In IBS, the epithelium appears to work properly. However, when the contents inside the colon move too quickly, the colon loses its ability to absorb fluids. The result is too much fluid in the stool. In other people, the movement inside the colon is too slow, which causes extra fluid to be absorbed. As a result, a person develops constipation. A person’s colon may respond strongly to stimuli such as certain foods or stress that would not bother most people. Recent research has reported that serotonin is linked with normal gastrointestinal (GI) functioning. Serotonin is a neurotransmitter, or chemical, that delivers messages from one part of your body to another. Ninety-five percent of the serotonin in your body is located in the GI tract, and the other 5 percent is found in the brain. Cells that line the inside of the bowel work as transporters and carry the serotonin out of the GI tract. People with IBS, however, have diminished receptor activity, causing abnormal levels of serotonin to exist in the GI tract. As a result, they experience problems with bowel movement, motility, and sensation—having more sensitive pain receptors in their GI tract. Researchers have reported that IBS may be caused by a bacterial infection in the gastrointestinal tract. Studies show that people who have had gastroenteritis sometimes develop IBS, otherwise called post-infectious IBS. Researchers have also found very mild celiac disease in some people with symptoms similar to IBS. People with celiac disease cannot digest gluten, a substance found in wheat, rye, and barley. People with celiac disease cannot eat these foods without becoming very sick because their immune system responds by damaging the small intestine. A blood test can determine whether celiac disease may be present.",Answer this question truthfully
