output,input,instruction
183. Decrease in Invasive Pneumococcal Disease in 7 United States Children’s Hospitals during the COVID-19 Pandemic,"BACKGROUND: During the 2020 SARS-CoV-2 pandemic, physical distancing and mask use guidelines were implemented resulting in a decline in the number of infections caused by influenza, respiratory syncytial virus and otitis media. A surveillance analysis from England and Taiwan showed a decline in invasive pneumococcal disease (IPD) (Clin Infect Dis. 2021;72: e65-75 and J Infect. 2021;82:296-297). We hypothesized that COVID mitigation efforts resulted in a decrease in incidence of pediatric IPD within the U.S. during 2020 compared to previous years. METHODS: We reviewed all cases of IPD among 7 children’s hospitals from the U.S. Pediatric Multicenter Pneumococcal Surveillance Group from 2017-2020. IPD was defined by the isolation of Streptococcus pneumoniae from normally sterile sites (eg. blood, cerebrospinal, pleural, synovial or peritoneal fluid). Pneumococcal pneumonia was defined as an abnormal chest radiograph in the presence of a positive blood, pleural fluid or lung culture. Mastoiditis was identified by positive middle ear, subperiosteal abscess or mastoid bone culture. Serotypes were determined by the capsular swelling method. Hospital admission numbers were obtained for incidence calculations. Statistical analyses were performed using STATA11. A p< 0.05 was considered significant. RESULTS: A total of 410 IPD cases were identified. The cumulative incidence of IPD (0-22 years of age) decreased from 99.2/100,000 admissions in 2017-2019 to 53.8/100,000 admissions in 2020 (risk ratio 0.54, CI: 0.40-0.72, p< 0.00001). Pneumococcal bacteremia and pneumonia decreased significantly in 2020 (p< 0.05), and although not statistically significant, there were fewer cases of meningitis and mastoiditis when compared to previous years (p=0.08) (Figure 1). Sex, race, age or presence of comorbidities were not significantly different between groups. Most common serotypes in 2020 were 35B, 3 and 15B/C (Figure 2). [Image: see text] [Image: see text] CONCLUSION: The observed decline in IPD cases during the first year of the SARS-CoV-2 pandemic is likely associated with mask use and physical distancing limiting transmission of S. pneumoniae via droplets and viral infections frequently preceding IPD. These precautions might be useful in the future to decrease IPD, especially in high-risk patients. DISCLOSURES: Sheldon L. Kaplan, MD, Pfizer (Research Grant or Support) Tina Q. Tan, MD, GSK (Individual(s) Involved: Self): Advisor or Review Panel member, Grant/Research Support; ILiAD (Individual(s) Involved: Self): Advisor or Review Panel member; Merck (Individual(s) Involved: Self): Advisor or Review Panel member, Grant/Research Support; Moderna (Individual(s) Involved: Self): Advisor or Review Panel member; Pfizer (Individual(s) Involved: Self): Advisor or Review Panel member Pia S. Pannaraj, MD, MPH, Pfizer (Grant/Research Support)Sanofi-Pasteur (Advisor or Review Panel member)Seqirus (Advisor or Review Panel member) Larry Givner, MD, AstraZeneca (Advisor or Review Panel member) Kristina G. Hulten, PhD, Pfizer (Research Grant or Support)",Please summerize the given abstract to a title
CD10 in the developing human kidney: immunoreactivity and possible role in renal embryogenesis.,"CD10 was first identified in tumor cells of acute lymphoblastic leukemia. Most studies on CD10 expression have dealt with tumor pathology. Since no data are available for specific role in the fetal kidney, this study aimed at investigating CD10 expression during the different phases of renal embryogenesis. To this end, the expression of CD10 was evaluated in the kidney of two human fetus and in three newborns. In both fetuses, immunostaining for CD10 was compartmentalized and mainly concentrated in the mid-deep cortex. Reactivity for CD10 was stronger in the glomerular epithelium, in proximal tubules and in metanephric mesenchymal cells. At 25 weeks of gestation, CD10 was also detected in the subcapsular regions, including some pretubular aggregates of cap mesenchymal cells and renal vesicles. At 34 weeks of gestation, we observed an increased immunoreactivity for CD10 in visceral and parietal glomerular epithelium. At 39 weeks of gestation, CD10 was also expressed in the collecting tubules and in the Henle loops. Our data show a strong expression of CD10 in all stage of human kidney development, characterized by dynamic changes and support the hypothesis that CD10 plays a relevant role in renal embryogenesis.",Please summerize the given abstract to a title
Long-term bone and lung consequences associated with hospital-acquired severe acute respiratory syndrome: a 15-year follow-up from a prospective cohort study.,"The most severe sequelae after rehabilitation from SARS are femoral head necrosis and pulmonary fibrosis. We performed a 15-year follow-up on the lung and bone conditions of SARS patients. We evaluated the recovery from lung damage and femoral head necrosis in an observational cohort study of SARS patients using pulmonary CT scans, hip joint MRI examinations, pulmonary function tests and hip joint function questionnaires. Eighty medical staff contracted SARS in 2003. Two patients died of SARS, and 78 were enrolled in this study from August 2003 to March 2018. Seventy-one patients completed the 15-year follow-up. The percentage of pulmonary lesions on CT scans diminished from 2003 (9.40 ± 7.83)% to 2004 (3.20 ± 4.78)% (P < 0.001) and remained stable thereafter until 2018 (4.60 ± 6.37)%. Between 2006 and 2018, the proportion of patients with interstitial changes who had improved pulmonary function was lower than that of patients without lesions, as demonstrated by the one-second ratio (FEV1/FVC%, t = 2.21, P = 0.04) and mid-flow of maximum expiration (FEF25%-75%, t = 2.76, P = 0.01). The volume of femoral head necrosis decreased significantly from 2003 (38.83 ± 21.01)% to 2005 (30.38 ± 20.23)% (P = 0.000 2), then declined slowly from 2005 to 2013 (28.99 ± 20.59)% and plateaued until 2018 (25.52 ± 15.51)%. Pulmonary interstitial damage and functional decline caused by SARS mostly recovered, with a greater extent of recovery within 2 years after rehabilitation. Femoral head necrosis induced by large doses of steroid pulse therapy in SARS patients was not progressive and was partially reversible.",Please summerize the given abstract to a title
RNA structure interactions and ribonucleoprotein processes of the influenza A virus,"In one more years, we will ‘celebrate’ an exact centenary of the Spanish flu pandemic. With the rapid evolution of the influenza virus, the possibility of novel pandemic remains ever a concern. This review covers our current knowledge of the influenza A virus: on the role of RNA in translation, replication, what is known of the expressed proteins and the protein products generated from alternative splicing, and on the role of base pairing in RNA structure. We highlight the main events associated with viral entry into the cell, the transcription and replication process, an export of the viral genetic material from the nucleus and the final release of the virus. We discuss the observed potential roles of RNA secondary structure (the RNA base-pairing arrangement) and RNA/RNA interactions in this scheme.",Please summerize the given abstract to a title
Organization of remote rehabilitation of moscow children with cerebral palcy during COVID19 pandemic using cross-cutting digital technologies,"The tense epidemic situation in the Russian Federation in connection with the spread of the new COVID-19 coronavirus infection has caused the need to search for new forms of medical care for children that ensure a step-by-step and continuous process of providing medical rehabilitation to children, and, at the same time, do not provide for daily visits to medical institutions The aim of the work was to develop and implement a project for rehabilitation of children with diseases of the nervous system and musculoskeletal system using digital technologies The results of the work was a unique joint project of the state medical Research and Clinical Centre of Pediatric Psychoneurology Moscow Department of Public Health in collaboration with the Research Institute of Health Organization and Medical Management Moscow Department of Public Health on the remote day hospital The results of an open prospective follow-up of 680 children with cerebral palsy who received a remote rehabilitation course showed the effectiveness and safety of the new rehabilitation approach in patients of this nosological group Постановка проблемы Напряженная эпидемическая ситуация, сложившаяся в Российской Федерации в связи с распространением новой коронавирусной инфекции COVID-19, вызвала необходимость поиска новых форм медицинской помощи детям, обеспечивающих этапность и непрерывность процесса оказания медицинской реабилитации детям, и, при этом, не предусматривающих ежедневного посещения ими лечебных учреждений Цель работы - разработка и реализация проекта реабилитации детей с заболеваниями нервной системы и опорнодвигательного аппарата с применением цифровых технологий Результаты ГБУЗ «НПЦ детской психоневрологии» ДЗМ в сотрудничестве с ГБУ «НИИОЗММ» ДЗМ создан уникальный совместный проект дистанционного дневного стационара Практическая значимость Результаты открытого проспективного наблюдения 680 детей с церебральным параличом, получивших реабилитационный курс в дистанционном режиме, показали эффективность и безопасность нового реабилитационного подхода у пациентов этой нозологической группы",Please summerize the given abstract to a title
Perspectives of social entrepreneurship in Romania in the context of the COVID-19 pandemic,"The usual and rather linear functioning of a country's economic and social structures is mandatory for setting stable grounds towards wellbeing. However, disruptions may appear in the ordinary flow of a community and produce a new order of action, prompting social ecosystems to focus on core operations. The COVID-19 pandemic, that has profoundly affected humanity in 2020 on multiple channels, has imposed a novel strategic thinking both for individuals and businesses, demanding an enhanced societal approach more than ever. Faced with such a major crisis, known in literature as a ""black swan"" event, social enterprises must show developed capabilities, flexibility and proactivity. Given the inaccurate evidence of social enterprises activating in Romania and of the limited studies focusing on their risk-response behavior, the paper explores the impact triggered by the COVID-19 pandemic over social entrepreneurship and in particular on Romanian social enterprises. To investigate the ability of these entities to successfully cope with this groundbreaking challenge, the paper firstly performs a literature review analysis on the reorganization of the social and economic sphere, in light of the pandemic. Furthermore, it approaches the challenges posed by the pandemic on traditional and social entrepreneurship, together with their reshaping of organizational resilience. Building on literature review and on document analysis of reports regarding essential actions to be embraced to maintain stability during the COVID-19 crisis, issued by renowned consultancy companies and organizations supporting social enterprises, the paper formulates an instrument for mapping the ability of Romanian social enterprises to overcome the pandemic threats.",Please summerize the given abstract to a title
Work and worker health in the post-pandemic world: a public health perspective,"The COVID-19 pandemic has highlighted the importance of work in shaping population health and wellbeing. This Viewpoint applies a multilevel systems framework to assist in understanding the diverse and complex interactions of forces affecting worker health and wellbeing, and how trending changes in employment and working conditions have been accelerated by the pandemic. Government agencies concerned with population health and wellbeing, and economic activity must expand their capacity to monitor, evaluate, and respond to these trends. In addition, integrated enterprise and workplace-based approaches that consider the interactions among these multidimensional drivers will build organisation and worker resilience to navigate the continual changes in work and worker safety, health, and wellbeing in a post-pandemic world.",Please summerize the given abstract to a title
The impact of COVID-19 on unemployment rate: An intelligent based unemployment rate prediction in selected countries of Europe,"Abstract Unemployment remains a major cause for both developed and developing nations, due to which they lose their financial and economic impact as a whole Unemployment rate prediction achieved researcher attention from a fast few years The intention of doing our research is to examine the impact of the coronavirus on the unemployment rate Accurately predicting the unemployment rate is a stimulating job for policymakers, which plays an imperative role in a country's financial and financial development planning Classical time series models such as ARIMA models and advanced non-linear time series methods be previously hired for unemployment rate prediction It is known to us that mostly these data sets are non-linear as well as non-stationary Consequently, a random error can be produced by a distinct time series prediction model Our research considers hybrid prediction approaches supported by linear and non-linear models to preserve forecast the unemployment rates much precisely These hybrid approaches of the unemployment rate can advance their estimates by reproducing the unemployment ratio irregularity These models' appliance is exposed to six unemployment rate statistics sets from Europe's selected countries, specifically France, Spain, Belgium, Turkey, Italy and Germany Among these hybrid models, the hybrid ARIMA-ARNN forecasting model performed well for France, Belgium, Turkey and Germany, whereas hybrid ARIMA-SVM performed outclass for Spain and Italy Furthermore, these models are used for the best future prediction Results show that the unemployment rate will be higher in the coming years, which is the consequence of the coronavirus, and it will take at least 5?years to overcome the impact of COVID-19 in these countries",Please summerize the given abstract to a title
‘Feeling Fat’ Amid the COVID-19 Pandemic: Examining the Role of Emotion Dysregulation in the Body Displacement Hypothesis (preprint)/ en,"‘Feeling fat,’ the somatic experience of being overweight not entirely explained by objective weight, may occur due to the projection of negative affect onto the body. Individuals may manage ‘feeling fat’ via eating pathology (e.g., binge eating or dietary restriction) rather than address the source of negative affect. Thus, ‘feeling fat’ may occur in the absence of adaptive emotion regulation strategies. The COVID-19 pandemic has increased negative affect widely and may potentially contribute to the experience of ‘feeling fat’ and eating pathology among individuals with emotion dysregulation. This study examined whether emotion dysregulation moderates ‘feeling fat’s role as a mechanism underlying the relationship between COVID-19-related distress and eating pathology. This uniqueness of this model to eating pathology was investigated by comparing effects for binge eating and dietary restriction versus anxiety, depression, and problematic alcohol use. Structural equation modelling was used to analyze questionnaire data from 877 participants (77.3% women). ‘Feeling fat’ explained significant variance in the relationship between COVID-19-related distress and both binge eating and restriction. Emotion dysregulation moderated the strength of these relationships. However, ‘feeling fat’s role in the relationship between pandemic-related distress and negative psychological outcomes was not unique to eating pathology and did not vary based upon emotion dysregulation. Individuals with elevated emotion dysregulation are more likely to report eating pathology, but not other outcomes, when experiencing increased ‘feeling fat’. In contrast, ‘feeling fat’ underlies the relationship between COVID-19-related distress and transdiagnostic psychological outcomes, meaning ‘feeling fat’ should be considered a risk for psychopathology beyond eating disorders.",Please summerize the given abstract to a title
AEGIS: a robust and scalable real-time public health surveillance system.,"In this report, we describe the Automated Epidemiological Geotemporal Integrated Surveillance system (AEGIS), developed for real-time population health monitoring in the state of Massachusetts. AEGIS provides public health personnel with automated near-real-time situational awareness of utilization patterns at participating healthcare institutions, supporting surveillance of bioterrorism and naturally occurring outbreaks. As real-time public health surveillance systems become integrated into regional and national surveillance initiatives, the challenges of scalability, robustness, and data security become increasingly prominent. A modular and fault tolerant design helps AEGIS achieve scalability and robustness, while a distributed storage model with local autonomy helps to minimize risk of unauthorized disclosure. The report includes a description of the evolution of the design over time in response to the challenges of a regional and national integration environment.",Please summerize the given abstract to a title
