id,data
cfc0cd94-74e8-44cb-8af9-6cf1f88f1273,"{'Context': array(['Mossy fibers are the sole excitatory projection from dentate gyrus granule cells to the hippocampus, forming part of the trisynaptic hippocampal circuit. They undergo significant plasticity during epileptogenesis and have been implicated in seizure generation. Mossy fibers are a highly unusual projection in the mammalian brain; in addition to glutamate, they release adenosine, dynorphin, zinc, and possibly other peptides. Mossy fiber terminals also show intense immunoreactivity for the inhibitory neurotransmitter gamma-aminobutyric acid (GABA), and immunoreactivity for GAD67. The purpose of this review is to present physiologic evidence of GABA release by mossy fibers and its modulation by epileptic activity.',
       'We used hippocampal slices from 3- to 5-week-old guinea pigs and made whole-cell voltage clamp recordings from CA3 pyramidal cells. We placed stimulating electrodes in stratum granulosum and adjusted their position in order to recruit mossy fiber to CA3 projections.',
       'We have shown that electrical stimuli that recruit dentate granule cells elicit monosynaptic GABAA receptor-mediated synaptic signals in CA3 pyramidal neurons. These inhibitory signals satisfy the criteria that distinguish mossy fiber-CA3 synapses: high sensitivity to metabotropic glutamate-receptor agonists, facilitation during repetitive stimulation, and N-methyl-D-aspartate (NMDA) receptor-independent long-term potentiation.'],
      dtype=object), 'Correct Answer': 'yes', 'Correct Option': 'A', 'Long Answer': 'We have thus provided compelling evidence that there is a mossy fiber GABAergic signal. The physiologic role of this mossy fiber GABAergic signal is uncertain, but may be of developmental importance. Other evidence suggests that this GABAergic signal is transiently upregulated after seizures. This could have an inhibitory or disinhibitory effect, and further work is needed to elucidate its actual role.', 'Options': {'A': 'yes', 'B': 'no', 'C': 'maybe'}, 'Question': 'Do mossy fibers release GABA?'}"
e9698c33-5f7d-4474-bec4-80e0c121172d,"{'Context': array([""Research on stroke survivors' driving safety has typically used either self-reports or government records, but the extent to which the 2 may differ is not known. We compared government records and self-reports of motor vehicle collisions and driving convictions in a sample of stroke survivors."",
       'The 56 participants were originally recruited for a prospective study on driving and community re-integration post-stroke; the study population consisted of moderately impaired stroke survivors without severe communication disorders who had been referred for a driving assessment. The driving records of the 56 participants for the 5 years before study entry and the 1-year study period were acquired with written consent from the Ministry of Transportation of Ontario (MTO), Canada. Self-reports of collisions and convictions were acquired via a semistructured interview and then compared with the MTO records.',
       'Forty-three participants completed the study. For 7 (13.5%) the MTO records did not match the self-reports regarding collision involvement, and for 9 (17.3%) the MTO records did not match self-reports regarding driving convictions. The kappa coefficient for the correlation between MTO records and self-reports was 0.52 for collisions and 0.47 for convictions (both in the moderate range of agreement). When both sources of data were consulted, up to 56 percent more accidents and up to 46 percent more convictions were identified in the study population in the 5 years before study entry compared to when either source was used alone.'],
      dtype=object), 'Correct Answer': 'no', 'Correct Option': 'B', 'Long Answer': 'In our population of stroke survivors, self-reports of motor vehicle collisions and driving convictions differed from government records. In future studies, the use of both government and self-reported data would ensure a more accurate picture of driving safety post-stroke.', 'Options': {'A': 'yes', 'B': 'no', 'C': 'maybe'}, 'Question': 'Department of Transportation vs self-reported data on motor vehicle collisions and driving convictions for stroke survivors: do they agree?'}"
56d5a2e0-d120-4bf5-bfa6-f4472ea0b05a,"{'Context': array(['To examine the impact of early discharge on newborn metabolic screening.',
       'Metabolic screening results were obtained from the Alabama State Lab for all infants born at our hospital between 8/1/97, and 1/31/99, and were matched with an existing database of early discharge infants. An early newborn discharge was defined as a discharge between 24 and 47 hours of age. Metabolic screening tests included phenylketonuria (PKU), hypothyroidism, and congenital adrenal hyperplasia (CAH). Early discharge and traditional stay infants were compared to determine the percentage of newborns screened and the timing of the first adequate specimen.',
       'The state laboratory received specimens from 3860 infants; 1324 were on early discharge newborns and 2536 infants in the traditional stay group. At least one filter paper test (PKU, hypothyroidism, and CAH) was collected on 99.2% of early discharge infants and 96.0% of traditional stay infants (P<.0001). Early discharge infants had a higher rate of initial filter paper specimens being inadequate (22.9%) compared with traditional stay infants (14.3%, P<.0001) but had a higher rate of repeat specimens when the initial specimen was inadequate (85.0% early discharge vs 75.3% traditional stay, P=.002). The early discharge group was more likely to have an adequate specimen within the first 9 days of life (1001, 98.8% early discharge vs 2016, 96.7% traditional stay, P=.0005).'],
      dtype=object), 'Correct Answer': 'no', 'Correct Option': 'B', 'Long Answer': 'In this well established early discharge program with nurse home visits, newborn metabolic screening is not compromised by early discharge.', 'Options': {'A': 'yes', 'B': 'no', 'C': 'maybe'}, 'Question': 'Does early discharge with nurse home visits affect adequacy of newborn metabolic screening?'}"
da41ac18-32f9-4eb1-855b-e1148df68dfe,"{'Context': array(['Sternal instability with mediastinitis is a very serious complication after median sternotomy. Biomechanical studies have suggested superiority of rigid plate fixation over wire cerclage for sternal fixation. This study tests the hypothesis that sternal closure stability can be improved by adding plate fixation in a human cadaver model.',
       'Midline sternotomy was performed in 18 human cadavers. Four sternal closure techniques were tested: (1) approximation with six interrupted steel wires; (2) approximation with six interrupted cables; (3) closure 1 (wires) or 2 (cables) reinforced with a transverse sternal plate at the sixth rib; (4) Closure using 4 sternal plates alone. Intrathoracic pressure was increased in all techniques while sternal separation was measured by three pairs of sonomicrometry crystals fixed at the upper, middle and lower parts of the sternum until 2.0 mm separation was detected. Differences in displacement pressures were analyzed using repeated measures ANOVA and Regression Coefficients.',
       'Intrathoracic pressure required to cause 2.0 mm separation increased significantly from 183.3 +/- 123.9 to 301.4 +/- 204.5 in wires/cables alone vs. wires/cables plus one plate respectively, and to 355.0 +/- 210.4 in the 4 plates group (p<0.05). Regression Coefficients (95% CI) were 120 (47-194) and 142 (66-219) respectively for the plate groups.'],
      dtype=object), 'Correct Answer': 'yes', 'Correct Option': 'A', 'Long Answer': 'Transverse sternal plating with 1 or 4 plates significantly improves sternal stability closure in human cadaver model. Adding a single sternal plate to primary closure improves the strength of sternal closure with traditional wiring potentially reducing the risk of sternal dehiscence and could be considered in high risk patients.', 'Options': {'A': 'yes', 'B': 'no', 'C': 'maybe'}, 'Question': 'Sternal plating for primary and secondary sternal closure; can it improve sternal stability?'}"
189cdbf1-3146-45e0-9682-5038f79d7daa,"{'Context': array(['Elevated resting heart rate (RHR) is a neglected marker in cardiovascular risk factor studies of sub-Saharan African populations. This study aimed to determine the prevalence of elevated RHR and other risk factors for cardiovascular disease (CVD) and to investigate any associations between RHR and these risk factors in a rural population in Ghana.',
       'Cross-sectional analysis.',
       'A total of 574 adults aged between 18-65 years were randomly sampled from a population register. Data collected included those on sociodemographic variables and anthropometric, blood pressure (BP), and RHR measurements. Within-person variability in RHR was calculated using data from repeat measurements taken 2 weeks apart.',
       'Of study participants, 36% were male. Prevalence of casual high BP was 19%. In the population, 10% were current cigarette smokers and habitual alcohol use was high at 56%. As measured by body mass index, 2% were obese and 14% had abdominal obesity. RHR was elevated (>90 bpm) in 19%. Overall, 79% of study participants were found to have at least one CVD risk factor. RHR was significantly associated with age, waist circumference, and BP. Individuals with an elevated RHR had a higher risk (OR 1.94, 95% CI 1.15-3.26%, p = 0.013) of casual high BP compared with participants with normal RHR independently of several established CVD risk factors. The regression dilution ratio of RHR was 0.75 (95% CI 0.62-0.89).'],
      dtype=object), 'Correct Answer': 'yes', 'Correct Option': 'A', 'Long Answer': 'Significant associations were observed between RHR and several established cardiovascular risk factors. Prospective studies are needed in sub-Saharan African populations to establish the potential value of RHR in cardiovascular risk assessment.', 'Options': {'A': 'yes', 'B': 'no', 'C': 'maybe'}, 'Question': 'Cardiovascular risk in a rural adult West African population: is resting heart rate also relevant?'}"
e98631e0-fac8-47b4-a5ae-f246c5df38ce,"{'Context': array(['Sporadic data present in literature report how preterm birth and low birth weight are risk factors for the development of cardiovascular diseases in later life. High levels of asymmetric dimethylarginine (ADMA), a strong inhibitor of nitric oxide synthesis, are associated with the future development of adverse cardiovascular events and cardiac death.',
       '1) to verify the presence of a statistically significant difference between ADMA levels in young adults born preterm at extremely low birth weight (<1000 g; ex-ELBW) and those of a control group of healthy adults born at term (C) and 2) to seek correlations between ADMA levels in ex-ELBW and anthropometric and clinical parameters (gender, chronological age, gestational age, birth weight, and duration of stay in Neonatal Intensive Care Unit).',
       'Thirty-two ex-ELBW subjects (11 males [M] and 21 females [F], aged 17-29years, mean age 22.2 ± 2.3 years) were compared with 25 C (7 M and 18F). ADMA levels were assessed by high-performance liquid chromatography with highly sensitive laser fluorescent detection.',
       'ADMA levels were reduced in ex-ELBW subjects compared to C (0.606+0.095 vs 0.562+0.101 μmol/L, p<0.05), and significantly correlated inversely with gestational age (r=-0.61, p<0.00001) and birth weight (r=-0.57, p<0.0002).'],
      dtype=object), 'Correct Answer': 'yes', 'Correct Option': 'A', 'Long Answer': 'Our findings reveal a significant decrease in ADMA levels of ex-ELBW subjects compared to C, underlining a probable correlation with preterm birth and low birth weight. Taken together, these results may underlie the onset of early circulatory dysfunction predictive of increased cardiovascular risk.', 'Options': {'A': 'yes', 'B': 'no', 'C': 'maybe'}, 'Question': 'Could ADMA levels in young adults born preterm predict an early endothelial dysfunction?'}"
b11b3f12-35a3-42a7-ae9a-5a5e333557aa,"{'Context': array(['It has been shown in vitro that pretreatment of skin with fractional lasers enhances transdermal delivery of drugs. The aim of this study is to demonstrate in vivo firstly that laser enhances transdermal drug absorption and secondly that this can be manipulated by altering laser settings.STUDY DESIGN/',
       'Four pigs were used in the IACUC approved animal study. On day 0, 5 g of 4% topical lidocaine was applied under occlusion for 60 minutes to a 400 cm(2) area on the abdomen. Blood was drawn at 0, 60, 90, 120, 180, and 240 minutes. On day 7, the Er:YAG laser was used at 500, 250, 50, and 25 µm ablative depth, respectively, over a 400 cm(2) area on the abdomen. Five grams of 4% topical lidocaine was applied immediately with occlusion for 60 minutes, and then removed. Blood was drawn at 0, 60, 90, 120, 180, and 240 minutes. The serum was extracted and analyzed for lidocaine and its metabolite monoethylglycinexylidide (MEGX).',
       'Serum levels of lidocaine and MEGX were undetectable in untreated skin. Following laser treatment both lidocaine and MEGX were detectable. Peak levels of lidocaine were significantly higher (P = 0.0002) at 250 µm (0.62 mg/L), compared to 500 µm (0.45 mg/L), 50 µm (0.48 mg/L), and 25 µm (0.3 mg/L). Peak levels of MEGX were significantly higher (P ≤ 0.0001) at 250 µm (0.048 mg/L), compared to 500 µm (0.018 mg/L), 50 µm (0.036 mg/L), and 25 µm (0.0144 mg/L).'],
      dtype=object), 'Correct Answer': 'yes', 'Correct Option': 'A', 'Long Answer': 'This study demonstrates that laser pretreatment significantly increases absorption of topical lidocaine so that it is detectable in the blood and that manipulating laser settings can affect drug absorption. Future work will look at translating this effect into clinical benefit.', 'Options': {'A': 'yes', 'B': 'no', 'C': 'maybe'}, 'Question': 'Can fractional lasers enhance transdermal absorption of topical lidocaine in an in vivo animal model?'}"
a2019786-fcc6-4dd2-975c-767100684937,"{'Context': array(['The purpose of this study was to identify the relationships between leg muscle power and sprinting speed with changes of direction.',
       'the study was designed to describe relationships between physical qualities and a component of sports performance.',
       'testing was conducted in an indoor sports hall and a biomechanics laboratory.',
       '15 male participants were required to be free of injury and have recent experience competing in sports involving sprints with changes of direction.',
       'subjects were timed in 8 m sprints in a straight line and with various changes of direction. They were also tested for bilateral and unilateral leg extensor muscle concentric power output by an isokinetic squat and reactive strength by a drop jump.',
       'The correlations between concentric power and straight sprinting speed were non-significant whereas the relationships between reactive strength and straight speed were statistically significant. Correlations between muscle power and speed while changing direction were generally low and non-significant for concentric leg power with some moderate and significant (p<0.05) coefficients found for reactive strength. The participants who turned faster to one side tended to have a reactive strength dominance in the leg responsible for the push-off action.'],
      dtype=object), 'Correct Answer': 'yes', 'Correct Option': 'A', 'Long Answer': 'The relationships between leg muscle power and change-of-direction speed were not consistent. Reactive strength as measured by the drop jump appears to have some importance for lateral change-of-direction speed, possibly because of similar push-off actions. It was concluded that reactive strength of the leg extensor muscles has some importance in change-of-direction performance but the other technical and perceptual factors than influence agility performance should also be considered.', 'Options': {'A': 'yes', 'B': 'no', 'C': 'maybe'}, 'Question': 'Is muscle power related to running speed with changes of direction?'}"
68e7f224-ca57-4a63-ab99-4be80f0f9393,"{'Context': array(['To evaluate renal damage and impairment of renal function 1 yr after laparoscopic partial nephrectomy (LPN) with warm ischemia>30 min.',
       'From July 2004 to June 2005, 18 patients underwent LPN with warm ischemia time>30 min. Kidney damage markers (daily proteinuria and tubular enzymes) and renal function (serum creatinine, cystatin C, and creatinine clearances) were assessed on postoperative days 1 and 5 and at 12 mo. Glomerular filtration rate (GFR) was evaluated before surgery and at 3 mo. Renal scintigraphy was performed before the procedure, at 5 d and at 3 and 12 mo postoperatively. Statistical analysis was performed using the Student t test and logistic regression analysis.',
       'In terms of kidney damage and renal function markers, the statistical analysis demonstrated that at 1 yr there was complete return to the normal range and no statistical difference between the values at the various time points. The GFR was not significantly different before and 3 mo after surgery. In terms of scintigraphy of the operated kidney, the values were 48.35+/-3.82% (40-50%) before the procedure, 36.88+/-8.42 (16-50%) on postoperative day 5 (p=0.0001), 40.56+/-8.96 (20-50%) at 3 mo (p=0.003), and 42.8+/-7.2% (20-50%) 1 yr after surgery (p=0.001).'],
      dtype=object), 'Correct Answer': 'no', 'Correct Option': 'B', 'Long Answer': 'Our results demonstrate that kidney damage occurs during LPN when warm ischemia is>30 min. This damage is only partially reversible and efforts should be made to keep warm ischemia within 30 min.', 'Options': {'A': 'yes', 'B': 'no', 'C': 'maybe'}, 'Question': 'Is renal warm ischemia over 30 minutes during laparoscopic partial nephrectomy possible?'}"
79558f8c-d56f-47e7-8a5c-84cc535ec921,"{'Context': array(['The identification of the most suspect enhancing part of a lesion is regarded as a major diagnostic criterion in dynamic magnetic resonance mammography. Computer-aided diagnosis (CAD) software allows the semi-automatic analysis of the kinetic characteristics of complete enhancing lesions, providing additional information about lesion vasculature. The diagnostic value of this information has not yet been quantified.',
       'Consecutive patients from routine diagnostic studies (1.5 T, 0.1 mmol gadopentetate dimeglumine, dynamic gradient-echo sequences at 1-minute intervals) were analyzed prospectively using CAD. Dynamic sequences were processed and reduced to a parametric map. Curve types were classified by initial signal increase (not significant, intermediate, and strong) and the delayed time course of signal intensity (continuous, plateau, and washout). Lesion enhancement was measured using CAD. The most suspect curve, the curve-type distribution percentage, and combined dynamic data were compared. Statistical analysis included logistic regression analysis and receiver-operating characteristic analysis.',
       'Fifty-one patients with 46 malignant and 44 benign lesions were enrolled. On receiver-operating characteristic analysis, the most suspect curve showed diagnostic accuracy of 76.7 +/- 5%. In comparison, the curve-type distribution percentage demonstrated accuracy of 80.2 +/- 4.9%. Combined dynamic data had the highest diagnostic accuracy (84.3 +/- 4.2%). These differences did not achieve statistical significance. With appropriate cutoff values, sensitivity and specificity, respectively, were found to be 80.4% and 72.7% for the most suspect curve, 76.1% and 83.6% for the curve-type distribution percentage, and 78.3% and 84.5% for both parameters.'],
      dtype=object), 'Correct Answer': 'no', 'Correct Option': 'B', 'Long Answer': 'The integration of whole-lesion dynamic data tends to improve specificity. However, no statistical significance backs up this finding.', 'Options': {'A': 'yes', 'B': 'no', 'C': 'maybe'}, 'Question': 'Application of computer-aided diagnosis (CAD) in MR-mammography (MRM): do we really need whole lesion time curve distribution analysis?'}"
