question_id,subject,question,predicted_answer,correct_answer,is_correct
0,Physiology,A couple comes for evaluation of infeility. The HSG was normal but semen analysis revealed azoospermia. What is the diagnostic test to differentiate between testicular failure and vas deferens obstruction?,A,A,True
1,Physiology,Histamine is present on surface of:,B,B,True
2,Physiology,Which of the following is not a physiological method of heat loss from the body?,D,D,True
3,Physiology,Blood brain barrier is absent in all of the following areas except,A,B,False
4,Physiology,The most common problem with blood transfusion is:,A,A,True
5,Medicine,Hepatitis B occurs after an incubation period of:,C,C,True
6,Medicine,A 25 years old lady with a history of fever for 1 month presents with headache and ataxia.Brain imaging shows dilated ventricles and significant basal exudates. Which of the following will be the most likely CSF finding?,A,A,True
7,Medicine,"A 20 years old female came with complaints of headache, vomiting and decrease in movement of right leg. In the past, she had episodes of violent and aggressive behaviour and abdominal pain. Which of the following is the most probable diagnosis?",D,D,True
8,Medicine,What is the best management of the case shown?,B,D,False
9,Medicine,A patient comes to ED with fever and headache. On examination he has neck stiffness. CSF analysis was done:- Parameter Finding Normal range Glucose (mg/dl) 55 50-80 Protein (g/L) 0.50 0.18-0.45 ICT (cmH2O) 35 5-20 WBC 25 (predominantly lymphocytes) <5 Most likely diagnosis is-,C,D,False
10,Biochemistry,Lipids are ………………group of compounds:,A,A,True
11,Biochemistry,"In lead poisoning, there is an inhibition of some of the enzymes of the heme biosynthetic pathway. This is reflected by the accumulation of what substance in blood?",D,D,True
12,Biochemistry,Which of the following binds mRNA with ribosome in prokaryotes?,B,B,True
13,Biochemistry,VLDL is concerned with:,A,A,True
14,Biochemistry,Which of the following doesn't occur in 5' to 3' direction?,D,C,False
15,Ophthalmology,Concentration of tropicamide:,A,A,True
16,Ophthalmology,Cherry red spot and Hollenhorst plaque are seen in:,A,A,True
17,Ophthalmology,A patient with hypeension and diabetes presents with blurred vision. Fluorescein angiography shows,A,A,True
18,Ophthalmology,Which of the following is true?,A,B,False
19,Ophthalmology,"IOL placed in the young male., After 10 year what should be done..?",A,A,True
20,Anatomy,"In gene studies, the specific site to which the enzyme CRE recombinase binds is:",B,B,True
21,Anatomy,Dense irregular connective tissue is found in,D,A,False
22,Anatomy,"Post parotidectomy, patient feels numb while shaving. Which nerve was involved ?",D,D,True
23,Anatomy,Motor supply of infrahyoid muscle is:,A,A,True
24,Anatomy,All of the following muscles have parallel oriented fibers except:,A,D,False
25,Pediatrics,A 6 months old child having severe dehydration comes to the casualty with weak pulse and unrecordable B.P. Repeated attempt in gaining I.V. access has failed – The next best step is –,C,C,True
26,Pediatrics,"A child presented at 2 years of age with delayed motor development, mental retardation and finger biting. He was normal at bih. He subsequently develops cerebral palsy ahritis and dies due to renal failure at age of 25 years. What is the likely enzyme deficiency implicated?",C,C,True
27,Pediatrics,Palpable purpura is seen in all. except –,C,C,True
28,Pediatrics,Pulsatile varicose veins in lower limbs is seen in –,A,A,True
29,Pediatrics,Which of the following is the most common inherited malignancy :,B,B,True
30,Pathology,Which of following in not true about SLE?,D,B,False
31,Pathology,Transudate is characterized by:,B,B,True
32,Pathology,Lesions of oral tuberculosis are associated with all the following except:,C,B,False
33,Pathology,"A 40 year old woman has arneloblastoma, the histomorphologic features will be",A,A,True
34,Pathology,Which of the following is most common location of intracranial neurocysticercoses:,A,A,True
35,Dental,Crab claw separator is,C,B,False
36,Dental,Calcification of roots of deciduous teeth is completed by:,B,B,True
37,Dental,The systolic blood pressure in normal healthy males of age group of 40 — 60 has a normal distribution with a mean of 130 in a sample of 100. People with systolic blood pressure more than 130 will be:,A,C,False
38,Dental,Rooting reflex also known as search reflex disappears:,A,C,False
39,Dental,Definitive treatment for the condition shown in radiograph below is?,B,D,False
40,Microbiology,Chemotactic cytokine is,C,C,True
